parameter,value,is_nominal,scenario,n_runs,alarm_dropped_rate_mean,alarm_dropped_rate_ci_lower,alarm_dropped_rate_ci_upper,legitimate_alarm_dropped_rate_mean,legitimate_alarm_dropped_rate_ci_lower,legitimate_alarm_dropped_rate_ci_upper,legitimate_alarm_n,abnormal_alarm_dropped_rate_mean,alarm_avg_latency_mean,alarm_avg_latency_ci_lower,alarm_avg_latency_ci_upper,background_wait_mean_mean,background_wait_mean_ci_lower,background_wait_mean_ci_upper,activation_churn_mean,activation_churn_ci_lower,activation_churn_ci_upper,stable,expected_drop_floor
alarm_burst_capacity,80.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_source_abnormal_threshold,0.1,0,alarm_flood_attack,20,0.8545454545454547,0.8545454545454546,0.8545454545454548,0.0,nan,nan,20.0,0.9400000000000001,0.030630565543102062,0.025859948630602366,0.03540118245560176,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_source_abnormal_threshold,0.25,0,alarm_flood_attack,20,0.8545454545454547,0.8545454545454546,0.8545454545454548,0.0,nan,nan,20.0,0.9400000000000001,0.030630565543102062,0.025859948630602366,0.03540118245560176,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_source_abnormal_threshold,0.5,1,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_source_abnormal_threshold,1.0,0,alarm_flood_attack,20,0.8227272727272726,0.8227272727272726,0.8227272727272726,0.0,nan,nan,20.0,0.905,0.03840192617346338,0.030201314904832174,0.04660253744209458,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_source_abnormal_threshold,1.5,0,alarm_flood_attack,20,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,nan,nan,20.0,0.8800000000000001,0.05862614914644011,0.04487585450549485,0.07237644378738538,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_source_abnormal_threshold,2.0,0,alarm_flood_attack,20,0.7788636363636363,0.7778226011050923,0.7799046716221804,0.0,nan,nan,20.0,0.8567500000000001,0.08325745405647136,0.06372404825483137,0.10279085985811136,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_source_abnormal_threshold,3.0,0,alarm_flood_attack,20,0.7363636363636363,nan,nan,0.0,nan,nan,20.0,0.8100000000000002,0.1083868089249513,0.07524082283407044,0.14153279501583216,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_source_abnormal_threshold,5.0,0,alarm_flood_attack,20,0.6500000000000001,0.6500000000000001,0.6500000000000001,0.0,nan,nan,20.0,0.715,0.18138477419826785,0.12798844333207648,0.2347811050644592,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_source_abnormal_threshold,0.1,0,alarm_malfunction_surge,20,0.5388749999999999,0.5369969862052817,0.5407530137947181,0.0,nan,nan,20.0,0.567236842105263,0.03653928144010293,0.030498695637814672,0.04257986724239119,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_source_abnormal_threshold,0.25,0,alarm_malfunction_surge,20,0.5388749999999999,0.5369969862052817,0.5407530137947181,0.0,nan,nan,20.0,0.567236842105263,0.03653928144010293,0.030498695637814672,0.04257986724239119,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_source_abnormal_threshold,0.5,1,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_source_abnormal_threshold,1.0,0,alarm_malfunction_surge,20,0.467875,0.46369454965384954,0.47205545034615043,0.0075000000000000015,-0.001072796523492077,0.01607279652349208,20.0,0.49210526315789477,0.08921739778427448,0.064292716272554,0.11414207929599496,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_source_abnormal_threshold,1.5,0,alarm_malfunction_surge,20,0.424875,0.41967732513847633,0.4300726748615237,0.0075000000000000015,-0.001072796523492077,0.01607279652349208,20.0,0.44684210526315793,0.1119401273245431,0.08621987722340313,0.13766037742568307,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_source_abnormal_threshold,2.0,0,alarm_malfunction_surge,20,0.36675,0.3570042989872054,0.3764957010127946,0.0175,0.0037604320710763178,0.031239567928923684,20.0,0.38513157894736844,0.12590172497613986,0.10315908967835838,0.14864436027392133,0.0,nan,nan,9.0,nan,nan,0,0.25
alarm_source_abnormal_threshold,3.0,0,alarm_malfunction_surge,20,0.22275,0.21530248505642188,0.23019751494357812,0.065,0.03360463918387537,0.09639536081612463,20.0,0.2310526315789474,0.15233527019904355,0.1331460987125685,0.1715244416855186,0.0,nan,nan,2.0,nan,nan,0,0.25
alarm_source_abnormal_threshold,5.0,0,alarm_malfunction_surge,20,0.22225,0.21507848845762567,0.22942151154237433,0.09,0.05158618804393434,0.12841381195606566,20.0,0.22921052631578945,0.15638176387211558,0.13614269113405364,0.17662083661017752,0.0,nan,nan,2.0,nan,nan,0,0.25
alarm_source_abnormal_threshold,0.1,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
