manuscript_id,scenario,scheduler,rep,inversions,worst_overtaken
R3,r3_legit_extreme_emergency,fifo,19,2,2
R3,r3_legit_extreme_emergency,fifo,2,3,2
R3,r3_legit_extreme_emergency,fifo,20,3,2
R3,r3_legit_extreme_emergency,fifo,21,3,2
R3,r3_legit_extreme_emergency,fifo,22,2,2
R3,r3_legit_extreme_emergency,fifo,23,3,2
R3,r3_legit_extreme_emergency,fifo,24,3,2
R3,r3_legit_extreme_emergency,fifo,25,2,2
R3,r3_legit_extreme_emergency,fifo,26,3,2
R3,r3_legit_extreme_emergency,fifo,27,4,2
R3,r3_legit_extreme_emergency,fifo,28,4,2
R3,r3_legit_extreme_emergency,fifo,29,4,2
R3,r3_legit_extreme_emergency,fifo,3,2,2
R3,r3_legit_extreme_emergency,fifo,4,3,2
R3,r3_legit_extreme_emergency,fifo,5,2,2
R3,r3_legit_extreme_emergency,fifo,6,2,2
R3,r3_legit_extreme_emergency,fifo,7,2,2
R3,r3_legit_extreme_emergency,fifo,8,3,2
R3,r3_legit_extreme_emergency,fifo,9,2,2
R3,r3_legit_extreme_emergency,strict,0,827,248
R3,r3_legit_extreme_emergency,strict,1,823,248
R3,r3_legit_extreme_emergency,strict,10,823,248
R3,r3_legit_extreme_emergency,strict,11,822,248
R3,r3_legit_extreme_emergency,strict,12,827,248
R3,r3_legit_extreme_emergency,strict,13,823,248
R3,r3_legit_extreme_emergency,strict,14,822,248
R3,r3_legit_extreme_emergency,strict,15,823,248
R3,r3_legit_extreme_emergency,strict,16,824,248
R3,r3_legit_extreme_emergency,strict,17,823,248
R3,r3_legit_extreme_emergency,strict,18,824,248
R3,r3_legit_extreme_emergency,strict,19,814,248
R3,r3_legit_extreme_emergency,strict,2,822,248
R3,r3_legit_extreme_emergency,strict,20,827,248
R3,r3_legit_extreme_emergency,strict,21,819,248
R3,r3_legit_extreme_emergency,strict,22,820,248
R3,r3_legit_extreme_emergency,strict,23,822,248
R3,r3_legit_extreme_emergency,strict,24,819,248
R3,r3_legit_extreme_emergency,strict,25,824,248
R3,r3_legit_extreme_emergency,strict,26,824,248
R3,r3_legit_extreme_emergency,strict,27,822,248
R3,r3_legit_extreme_emergency,strict,28,822,248
R3,r3_legit_extreme_emergency,strict,29,822,248
R3,r3_legit_extreme_emergency,strict,3,825,248
R3,r3_legit_extreme_emergency,strict,4,822,248
R3,r3_legit_extreme_emergency,strict,5,822,248
R3,r3_legit_extreme_emergency,strict,6,822,248
R3,r3_legit_extreme_emergency,strict,7,827,248
R3,r3_legit_extreme_emergency,strict,8,822,248
R3,r3_legit_extreme_emergency,strict,9,822,248
R3,r3_legit_extreme_emergency,wfq,0,159,25
R3,r3_legit_extreme_emergency,wfq,1,164,25
R3,r3_legit_extreme_emergency,wfq,10,156,25
R3,r3_legit_extreme_emergency,wfq,11,162,25
R3,r3_legit_extreme_emergency,wfq,12,166,25
R3,r3_legit_extreme_emergency,wfq,13,163,25
R3,r3_legit_extreme_emergency,wfq,14,162,25
R3,r3_legit_extreme_emergency,wfq,15,161,25
R3,r3_legit_extreme_emergency,wfq,16,162,25
R3,r3_legit_extreme_emergency,wfq,17,160,25
R3,r3_legit_extreme_emergency,wfq,18,164,25
R3,r3_legit_extreme_emergency,wfq,19,162,25
R3,r3_legit_extreme_emergency,wfq,2,163,25
R3,r3_legit_extreme_emergency,wfq,20,157,25
R3,r3_legit_extreme_emergency,wfq,21,162,25
R3,r3_legit_extreme_emergency,wfq,22,164,25
R3,r3_legit_extreme_emergency,wfq,23,163,25
R3,r3_legit_extreme_emergency,wfq,24,162,25
R3,r3_legit_extreme_emergency,wfq,25,167,25
R3,r3_legit_extreme_emergency,wfq,26,156,25
R3,r3_legit_extreme_emergency,wfq,27,162,25
R3,r3_legit_extreme_emergency,wfq,28,162,25
R3,r3_legit_extreme_emergency,wfq,29,161,25
R3,r3_legit_extreme_emergency,wfq,3,170,25
R3,r3_legit_extreme_emergency,wfq,4,162,25
R3,r3_legit_extreme_emergency,wfq,5,160,25
R3,r3_legit_extreme_emergency,wfq,6,162,25
R3,r3_legit_extreme_emergency,wfq,7,157,25
R3,r3_legit_extreme_emergency,wfq,8,158,25
R3,r3_legit_extreme_emergency,wfq,9,165,25
R3,r3_legit_extreme_emergency,drr,0,2,2
R3,r3_legit_extreme_emergency,drr,1,2,2
R3,r3_legit_extreme_emergency,drr,10,2,2
R3,r3_legit_extreme_emergency,drr,11,2,2
R3,r3_legit_extreme_emergency,drr,12,2,2
R3,r3_legit_extreme_emergency,drr,13,2,2
R3,r3_legit_extreme_emergency,drr,14,2,2
R3,r3_legit_extreme_emergency,drr,15,2,2
R3,r3_legit_extreme_emergency,drr,16,2,2
R3,r3_legit_extreme_emergency,drr,17,2,2
R3,r3_legit_extreme_emergency,drr,18,2,2
R3,r3_legit_extreme_emergency,drr,19,2,2
R3,r3_legit_extreme_emergency,drr,2,2,2
R3,r3_legit_extreme_emergency,drr,20,2,2
R3,r3_legit_extreme_emergency,drr,21,2,2
R3,r3_legit_extreme_emergency,drr,22,2,2
R3,r3_legit_extreme_emergency,drr,23,2,2
R3,r3_legit_extreme_emergency,drr,24,2,2
R3,r3_legit_extreme_emergency,drr,25,2,2
R3,r3_legit_extreme_emergency,drr,26,2,2
R3,r3_legit_extreme_emergency,drr,27,2,2
R3,r3_legit_extreme_emergency,drr,28,2,2
R3,r3_legit_extreme_emergency,drr,29,2,2
R3,r3_legit_extreme_emergency,drr,3,2,2
R3,r3_legit_extreme_emergency,drr,4,2,2
R3,r3_legit_extreme_emergency,drr,5,2,2
R3,r3_legit_extreme_emergency,drr,6,2,2
R3,r3_legit_extreme_emergency,drr,7,2,2
R3,r3_legit_extreme_emergency,drr,8,2,2
R3,r3_legit_extreme_emergency,drr,9,2,2
R3,r3_legit_extreme_emergency,tbp,0,537,132
R3,r3_legit_extreme_emergency,tbp,1,535,132
R3,r3_legit_extreme_emergency,tbp,10,533,132
R3,r3_legit_extreme_emergency,tbp,11,533,132
R3,r3_legit_extreme_emergency,tbp,12,534,132
R3,r3_legit_extreme_emergency,tbp,13,533,132
R3,r3_legit_extreme_emergency,tbp,14,533,132
R3,r3_legit_extreme_emergency,tbp,15,533,132
R3,r3_legit_extreme_emergency,tbp,16,534,132
R3,r3_legit_extreme_emergency,tbp,17,534,132
R3,r3_legit_extreme_emergency,tbp,18,533,132
R3,r3_legit_extreme_emergency,tbp,19,534,132
R3,r3_legit_extreme_emergency,tbp,2,533,132
R3,r3_legit_extreme_emergency,tbp,20,534,132
R3,r3_legit_extreme_emergency,tbp,21,533,132
R3,r3_legit_extreme_emergency,tbp,22,537,132
R3,r3_legit_extreme_emergency,tbp,23,531,132
R3,r3_legit_extreme_emergency,tbp,24,533,132
R3,r3_legit_extreme_emergency,tbp,25,534,132
R3,r3_legit_extreme_emergency,tbp,26,533,132
R3,r3_legit_extreme_emergency,tbp,27,537,132
R3,r3_legit_extreme_emergency,tbp,28,534,132
R3,r3_legit_extreme_emergency,tbp,29,534,132
R3,r3_legit_extreme_emergency,tbp,3,534,132
R3,r3_legit_extreme_emergency,tbp,4,534,132
R3,r3_legit_extreme_emergency,tbp,5,534,132
R3,r3_legit_extreme_emergency,tbp,6,533,132
R3,r3_legit_extreme_emergency,tbp,7,534,132
R3,r3_legit_extreme_emergency,tbp,8,533,132
R3,r3_legit_extreme_emergency,tbp,9,533,132
R3,r3_legit_extreme_emergency,triage4,0,0,0
R3,r3_legit_extreme_emergency,triage4,1,0,0
R3,r3_legit_extreme_emergency,triage4,10,0,0
R3,r3_legit_extreme_emergency,triage4,11,0,0
R3,r3_legit_extreme_emergency,triage4,12,0,0
R3,r3_legit_extreme_emergency,triage4,13,0,0
R3,r3_legit_extreme_emergency,triage4,14,0,0
R3,r3_legit_extreme_emergency,triage4,15,0,0
R3,r3_legit_extreme_emergency,triage4,16,0,0
R3,r3_legit_extreme_emergency,triage4,17,0,0
R3,r3_legit_extreme_emergency,triage4,18,0,0
R3,r3_legit_extreme_emergency,triage4,19,0,0
